X,Y,fid,CD_MUN,NM_MUN,SIGLA,AREA_KM2,DADOS_POP1_Total da populacao 2000,DADOS_POP1_Total de homens,DADOS_POP1_Total de mulheres,DADOS_POP1_Total da populacao urbana,DADOS_POP1_Total da populacao rural,DADOS_POP1_Total da populacao 2010,DADOS_POP1_densidade,icon_url
-43.4289512461428,-22.8210672725917,"47","3303203",Nilópolis,RJ,19.393,"153712","73714","83769","157483","0","157483","8117,62",./0.png
-43.0553416514716,-22.9149949819801,"48","3303302",Niterói,RJ,133.757,"459451","225671","261656","487327","0","487327","3640,8",./2.png
-42.50103440071,-22.3191204699703,"49","3303401",Nova Friburgo,RJ,935.429,"173418","87242","94774","159335","22681","182016","195,07",./0.png
-43.501837504732,-22.686760811642,"50","3303500",Nova Iguaçu,RJ,520.581,"920599","381198","414014","786536","8676","795212","1527,6",./3.png
-43.7215183717659,-22.6178978801004,"51","3303609",Paracambi,RJ,190.949,"40475","23753","23321","41677","5397","47074","262,27",./1.png
-43.3043290190947,-22.1819577163471,"52","3303708",Paraíba do Sul,RJ,571.118,"37410","19770","21318","36159","4929","41088","70,77",./1.png
-44.7062420373491,-23.1483135917856,"53","3303807",Paraty,RJ,924.296,"29544","18992","18583","27717","9858","37575","40,57",./1.png
-43.4039748636737,-22.3670248850194,"54","3303856",Paty do Alferes,RJ,314.341,"24931","12819","13562","18607","7774","26381","82,68",./1.png
-43.1568323490067,-22.3979566354648,"55","3303906",Petrópolis,RJ,791.144,"286537","141079","154965","281356","14688","296044","371,85",./0.png
-43.997546752836,-22.5433256500145,"56","3303955",Pinheiral,RJ,82.254,"19481","11036","11688","20414","2310","22724","296,86",./1.png
-43.9017137360959,-22.6335881104238,"57","3304003",Piraí,RJ,490.255,"22118","12920","13389","20831","5478","26309","52,07",./1.png
-41.9695832379272,-20.9065642683674,"58","3304102",Porciúncula,RJ,291.847,"15952","8873","8898","13902","3869","17771","58,8",./1.png
-44.3260411924992,-22.4411166410165,"59","3304110",Porto Real,RJ,50.892,"12095","8232","8342","16481","93","16574","326,95",./1.png
-44.2371029050658,-22.3551515119417,"60","3304128",Quatis,RJ,284.826,"10730","6261","6570","12067","764","12831","44,72",./1.png
-43.5849224388967,-22.7254151206072,"61","3304144",Queimados,RJ,75.927,"121993","66621","71317","137938","0","137938","1822,6",./0.png
-41.4444049594422,-22.1047990822531,"62","3304151",Quissamã,RJ,719.643,"13674","10036","10208","13016","7228","20244","28,4",./1.png
-44.4852577118224,-22.4406413433908,"63","3304201",Resende,RJ,1099.336,"104549","58244","61557","112375","7426","119801","109,35",./0.png
-42.588067023919,-22.7350151791597,"64","3304300",Rio Bonito,RJ,459.458,"49691","27349","28237","41267","14319","55586","121,7",./1.png
-44.0783778696559,-22.7804816740246,"65","3304409",Rio Claro,RJ,846.797,"16228","8747","8654","13754","3647","17401","20,81",./1.png
-43.5386596155523,-22.1598948015879,"66","3304508",Rio das Flores,RJ,478.783,"7625","4201","4344","5948","2597","8545","17,9",./1.png
-41.9464777969903,-22.4542406420778,"67","3304524",Rio das Ostras,RJ,228.044,"36419","52240","53517","99999","5758","105757","461,38",./0.png
-43.4509903224657,-22.9231926244998,"68","3304557",Rio de Janeiro,RJ,1200.329,"5857904","2960954","3362083","6323037","0","6323037","5265,82",./4.png
-41.9134779642534,-21.9696344733253,"69","3304607",Santa Maria Madalena,RJ,810.963,"10476","5275","5046","5932","4389","10321","12,67",./1.png
-42.1928791285692,-21.5556157602742,"70","3304706",Santo Antônio de Pádua,RJ,603.633,"38692","19946","20623","31086","9483","40569","67,27",./1.png
-41.1351697408775,-21.4176132808634,"71","3304755",São Francisco de Itabapoana,RJ,1118.037,"41145","20802","20555","21090","20267","41357","36,39",./1.png
